DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Albania,2021,4.01,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Albania,2023,7.77,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Austria,2021,33.28,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Austria,2023,32.04,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bosnia and Herzegovina,2021,5.35,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bosnia and Herzegovina,2023,6.88,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Belgium,2021,26.34,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Belgium,2023,28.26,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bulgaria,2021,7.82,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bulgaria,2023,7.73,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Switzerland,2021,40.26,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Switzerland,2023,42.69,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Cyprus,2021,20.95,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Cyprus,2023,24.96,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Czechia,2021,24.06,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Czechia,2023,35.48,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Germany,2021,18.84,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Germany,2023,19.79,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Denmark,2021,37.37,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Denmark,2023,39.37,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,28.22,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,28.71,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Estonia,2021,27.68,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Estonia,2023,34.84,,
